genes,loadings
AT1G01020,-0.012506323105747705
AT1G01040,-0.012544485742283203
AT1G01060,-0.010491867738034214
AT1G01090,-0.012500770299783696
AT1G01160,-0.015212087675092818
AT1G01190,-0.0073855536518801146
AT1G01220,-0.013378552402788808
AT1G01225,-0.010635600265699324
AT1G01230,-0.01424145211075883
AT1G01240,-0.011093415218078913
AT1G01280,-0.001002675266471491
AT1G01290,-0.01224574752022445
AT1G01300,-0.013094561924913121
AT1G01320,-0.013869105283909356
AT1G01350,-0.01386909995550766
AT1G01430,-0.014994359732536251
AT1G01470,-0.010591023603336401
AT1G01500,-0.011556929260269543
AT1G01510,-0.013176969764382712
AT1G01630,-0.014779692493314706
AT1G01640,-0.008888173974694056
AT1G01650,-0.013472671171772223
AT1G01690,-0.009978325650783795
AT1G01710,-0.01484995693283054
AT1G01730,-0.011977445778394585
AT1G01760,-0.01100497341119426
AT1G01770,-0.012489998853604871
AT1G01790,-0.015406294224156741
AT1G01830,-0.012862403607714975
AT1G01880,-0.007744816079518174
AT1G01910,-0.013656039227021976
AT1G01920,-0.013736724474738334
AT1G01930,-0.012638258197128039
AT1G01940,-0.014186878740440828
AT1G01970,-0.015143832996713092
AT1G02020,-0.009172858685032745
AT1G02040,-0.0007021600253067848
AT1G02070,-0.003920095838257929
AT1G02080,-0.013546431334315481
AT1G02090,-0.014054899407323145
AT1G02100,-0.014375009743212253
AT1G02110,-0.01370140870234293
AT1G02120,-0.015864024991644857
AT1G02140,-0.011933135676092383
AT1G02145,-0.015061044075916926
AT1G02150,-0.014779435383616198
AT1G02260,-0.012684699541110166
AT1G02280,-0.016267160892643674
AT1G02300,-0.014768973288822497
AT1G02330,-0.014511256145798433
AT1G02370,-0.011841944751623371
AT1G02410,-0.013523030289400703
AT1G02420,-0.00667032775667753
AT1G02470,-0.008135409922926698
AT1G02560,-0.013256905321531814
AT1G02610,-0.008861702317406238
AT1G02650,-0.004691329438494545
AT1G02660,-0.009784466082718834
AT1G02670,-0.006479894002126103
AT1G02680,-0.013598074397892419
AT1G02700,-0.006094234088674111
AT1G02740,-0.01240905786209478
AT1G02860,-0.012157237926626397
AT1G02870,-0.014810758218349531
AT1G02880,-0.01318645319225347
AT1G02910,-0.015429610416613367
AT1G02970,-0.009335044361454888
AT1G03000,-0.014157267308032805
AT1G03010,-0.00407341608283903
AT1G03040,-0.014170902059194914
AT1G03050,-0.00047630845143741235
AT1G03055,-0.011729464230675885
AT1G03060,-0.010372219983361245
AT1G03090,-0.01309761902230359
AT1G03100,-0.007492366048057016
AT1G03110,-0.013503103092574114
AT1G03150,-0.014747465345024764
AT1G03160,-0.015365548711672292
AT1G03190,-0.012044695942210262
AT1G03260,-0.01233583484658449
AT1G03270,-0.010212181602410463
AT1G03280,-0.014564388647825739
AT1G03310,-0.014625420164836358
AT1G03340,-0.008932049954392639
AT1G03350,-0.01151655772426484
AT1G03360,-0.014399183122081105
AT1G03370,-0.011727023861021356
AT1G03380,-0.011812765914061149
AT1G03440,-0.011465790650908402
AT1G03445,-0.0009356467380906954
AT1G03457,-0.011102853454969395
AT1G03475,-0.014753202669367983
AT1G03520,-0.01241979082744925
AT1G03530,-0.01249421275574665
AT1G03560,-0.010970581526992186
AT1G03590,-0.01346848764716695
AT1G03600,-0.007301661198891234
AT1G03630,-0.016541253427671057
AT1G03650,-0.010765090585846444
AT1G03687,-0.014290099170151166
AT1G03730,-0.009441885254423443
AT1G03750,-0.00941254909628634
AT1G03760,-0.012889388976662749
AT1G03780,-0.012195434730683484
AT1G03900,-0.012307002715440812
AT1G03905,-0.008681951679346872
AT1G03910,-0.014186712500246586
AT1G03950,-0.014171280765165637
AT1G03970,-0.01106463040075461
AT1G03980,-0.0036443134942876335
AT1G03990,-0.007059080623980833
AT1G04010,-0.01143880102162373
AT1G04020,-0.012684746152716732
AT1G04070,-0.011498221170882648
AT1G04080,-0.01538129088813175
AT1G04090,-0.0038911859664641094
AT1G04110,-0.008440263136244169
AT1G04130,-0.012966976920517646
AT1G04140,-0.013158631337873126
AT1G04190,-0.015031990902435847
AT1G04200,-0.01361716501803705
AT1G04210,-0.013133667495974702
AT1G04230,-0.0128072327486108
AT1G04290,-0.012546031591515981
AT1G04300,-0.013430859893081458
AT1G04390,-0.010692716837515461
AT1G04400,-0.014078628768849317
AT1G04410,-0.012226910783578362
AT1G04420,-0.016046212598914672
AT1G04470,-0.0002569110426459261
AT1G04490,-0.0038191892157488695
AT1G04510,-0.014811666842921687
AT1G04555,-0.011451448749806775
AT1G04560,-0.002095696150988182
AT1G04570,-0.005872932905954796
AT1G04590,-0.014784083575461949
AT1G04620,-0.014158736136337268
AT1G04630,-0.014788368696987972
AT1G04635,-0.009585998742289896
AT1G04650,-0.008034571518944681
AT1G04690,-0.013921565056536044
AT1G04710,-0.01480538303817462
AT1G04730,-0.011163387912872585
AT1G04810,-0.013692208431891315
AT1G04850,-0.013411557274379544
AT1G04860,-0.012444644957364468
AT1G04870,-0.014408912210171152
AT1G04890,0.0001303311317714651
AT1G04900,-0.013447136685252527
AT1G04910,-0.013257475629067738
AT1G04920,-0.005700332176263428
AT1G04930,-0.010118006181017856
AT1G04940,-0.01638462381616016
AT1G04945,-0.011291019939753425
AT1G04950,-0.013857085919240696
AT1G04970,-0.012454664184296516
AT1G04980,-0.013246580965491797
AT1G04985,-0.012791513334807419
AT1G05055,-0.013103824999804854
AT1G05060,-0.013742585189412848
AT1G05070,-0.01380807717806959
AT1G05087,-0.00719678675392266
AT1G05140,-0.01347764228143159
AT1G05150,-0.01273250585400828
AT1G05180,-0.014098911089954105
AT1G05190,-0.015258008110447974
AT1G05205,-0.013966395215077193
AT1G05270,-0.01166179327189593
AT1G05280,-0.0026934558369770562
AT1G05310,-0.009335046352455599
AT1G05320,-0.014037515377921719
AT1G05350,-0.013790719521655274
AT1G05360,-0.01270583383059668
AT1G05370,-0.0075704999003685
AT1G05385,-0.015145833817383937
AT1G05410,-0.013460030079111913
AT1G05440,-0.00829417190232222
AT1G05460,-0.01239255177833317
AT1G05500,-0.014932534920896657
AT1G05510,-0.0010776187823907343
AT1G05575,-0.00693697142378585
AT1G05577,-0.0014440788792036139
AT1G05590,-0.013843399073451007
AT1G05600,-0.010670726440347417
AT1G05610,-0.003503165577592314
AT1G05620,-0.01266519525870453
AT1G05640,-0.008248489147654098
AT1G05690,-0.009063988970136251
AT1G05720,-0.014970608932869745
AT1G05730,-0.00749074985942232
AT1G05780,-0.011279493965316988
AT1G05790,-0.013151486392874803
AT1G05800,0.00015302156896801616
AT1G05805,-0.014054872394830421
AT1G05810,-0.014314530870930825
AT1G05820,-0.007510262507734239
AT1G05830,-0.013300241849324674
AT1G05850,-0.012360284578661649
AT1G05860,-0.012510720687681645
AT1G05900,-0.013141479958335877
AT1G05910,-0.012856269120262255
AT1G05940,-0.012877286780615409
AT1G05960,-0.013815709524286372
AT1G05970,-0.012754814812943613
AT1G06040,-0.012992567958320926
AT1G06110,-0.013476727598535264
AT1G06130,-0.01478972165989666
AT1G06150,-0.015011662114828685
AT1G06170,-0.0030951848810229173
AT1G06190,-0.014859950028775028
AT1G06200,-0.014289119708372737
AT1G06220,-0.01459096213658775
AT1G06240,-0.013827647441119141
AT1G06290,-0.013088567057803919
AT1G06380,-0.01130071318110381
