SampleID,family,tissue,stress,AboveBelow,VegetativeRepro,PC1,PC2
SRR1598911,Amaranthacea,flower,healthy,Above,Reproductive,5.172499743654935,-31.99111868413653
SRR1598912,Amaranthacea,leaf,healthy,Above,Vegetative,28.280214386049078,15.273171284467928
SRR1598913,Amaranthacea,root,healthy,Below,Vegetative,47.39514319673697,-59.72809660501034
SRR1598910,Amaranthacea,stem,healthy,Above,Vegetative,45.51823035427038,-32.329829113366856
SRR1598914,Amaranthacea,other,drought,Other,Other,33.32827539924227,-18.1121432947917
SRR1598909,Amaranthacea,seed,healthy,WholePlant,Reproductive,40.13017016595847,-51.28177373624538
SRR1598916,Amaranthacea,seed,healthy,WholePlant,Reproductive,53.89465926947236,-56.54470488597076
SRR1598915,Amaranthacea,seedling,healthy,WholePlant,WholePlant,89.11859523949333,-51.75843640126285
SRR9844294,Brassicaceae,leaf,healthy,Above,Vegetative,33.22589076388734,45.460143036463066
SRR9844295,Brassicaceae,leaf,healthy,Above,Vegetative,22.816341916832364,34.882164360853224
SRR9844296,Brassicaceae,leaf,healthy,Above,Vegetative,-37.413078416737626,34.51707775764127
SRR9844300,Brassicaceae,leaf,drought,Above,Vegetative,30.06234284738423,38.268837151066805
SRR9844301,Brassicaceae,leaf,drought,Above,Vegetative,27.62551653641362,35.72476600500483
SRR9844302,Brassicaceae,leaf,drought,Above,Vegetative,30.0427014883106,36.68165345378162
SRR11458863,Brassicaceae,leaf,healthy,Above,Vegetative,33.22589076388734,45.460143036463066
SRR11458867,Brassicaceae,leaf,healthy,Above,Vegetative,22.816341916832364,34.882164360853224
SRR11458871,Brassicaceae,leaf,healthy,Above,Vegetative,-37.413078416737626,34.51707775764127
SRR11458875,Brassicaceae,leaf,healthy,Above,Vegetative,252.84946653591678,-5.906849174500945
SRR11458864,Brassicaceae,leaf,salt,Above,Vegetative,30.06234284738423,38.268837151066805
SRR11458868,Brassicaceae,leaf,salt,Above,Vegetative,27.62551653641362,35.72476600500483
SRR11458872,Brassicaceae,leaf,salt,Above,Vegetative,30.0427014883106,36.68165345378162
SRR11458876,Brassicaceae,leaf,salt,Above,Vegetative,281.73184149368905,-8.243326893322633
SRR3724649,Brassicaceae,leaf,cold,Above,Vegetative,56.982886717433765,54.269515541193755
SRR3724650,Brassicaceae,leaf,cold,Above,Vegetative,61.44822307546464,59.331410169636
SRR3724651,Brassicaceae,leaf,cold,Above,Vegetative,68.97343112851028,54.1054129636449
SRR3724652,Brassicaceae,leaf,cold,Above,Vegetative,70.76241638796972,58.45904517245667
SRR3724663,Brassicaceae,leaf,cold,Above,Vegetative,75.16478931620296,48.41929246805022
SRR3724668,Brassicaceae,leaf,cold,Above,Vegetative,72.36230688946509,55.12793707287435
SRR3724737,Brassicaceae,leaf,cold,Above,Vegetative,69.11791643828468,44.681560354977286
SRR3724738,Brassicaceae,leaf,cold,Above,Vegetative,57.46107296025271,47.97335001140798
SRR3724739,Brassicaceae,leaf,cold,Above,Vegetative,65.00775116823617,41.436572917670844
SRR3724741,Brassicaceae,leaf,cold,Above,Vegetative,55.4062082872338,42.715838419681084
SRR3724768,Brassicaceae,leaf,heat,Above,Vegetative,76.22846498985184,55.22626941102878
SRR3724774,Brassicaceae,leaf,heat,Above,Vegetative,97.71407098880587,57.12868378503333
SRR3724778,Brassicaceae,leaf,heat,Above,Vegetative,110.52838197284895,49.47926140097105
SRR3724782,Brassicaceae,leaf,heat,Above,Vegetative,86.62625038897197,47.665599092947694
