AboveBelow,PC1,PC2
Above,-84.46472995262454,-1559.5565871154042
Above,-85.87961872315606,-1453.6087481631407
Below,-81.10273254824627,-1553.1899316211343
Above,-80.20972218009511,-1541.5767447115813
Other,-81.27276438929064,-1537.49228177593
WholePlant,-80.42142900623475,-1554.9937810308393
WholePlant,-79.4785109520436,-1560.197103691136
WholePlant,-76.22553473059654,-1587.852587088758
Above,-87.6097898446885,-1390.391971280401
Above,-87.429675915188,-1415.7037379273802
Above,-98.83506843221359,-1410.0329902350559
Above,-87.0169967244846,-1410.3902018677113
Above,-87.12690719038228,-1415.7736189209334
Above,-87.15091114994408,-1410.0172460668653
Above,-87.6097898446885,-1390.391971280401
Above,-87.429675915188,-1415.7037379273802
Above,-98.83506843221359,-1410.0329902350559
Above,-65.80989760996908,-1551.5477597961344
Above,-87.0169967244846,-1410.3902018677113
Above,-87.12690719038228,-1415.7736189209334
Above,-87.15091114994408,-1410.0172460668653
Above,-65.3958237283502,-1551.4477691238512
Above,-84.16197514845226,-1421.081094948811
Above,-85.00637050048003,-1398.7936695639055
Above,-82.60293255434689,-1428.5300829449486
Above,-83.40840635388422,-1416.6944228483867
Above,-81.38298700914667,-1448.3536545476272
Above,-83.01896730675082,-1426.139603552603
Above,-81.97269054410144,-1453.9837464017378
Above,-83.34149632990483,-1441.0325695337945
Above,-81.0053126977199,-1472.0104543567709
Above,-82.27317398656324,-1458.7560872079046
Above,-83.0598086150633,-1434.312370099896
Above,-81.94799133052479,-1443.26665364075
Above,-78.20524923249657,-1466.0101674268026
Above,-81.75245589553806,-1446.222471813838
Above,-82.16432829425244,-1442.5802477063537
Above,-80.94584104796552,-1466.0245124501832
Above,-81.33179657364613,-1467.5019876692452
Above,-81.3806071190094,-1479.8390530724541
Above,-81.04223047899038,-1506.0807093003516
Above,-79.46201195174685,-1495.0299746266178
Below,-82.86838176021975,-1549.2595485343656
Below,-80.13746116983084,-1549.2533385565912
Above,-73.6250479041472,-1525.7424712517088
Above,-78.98988021164408,-1501.0546812794435
WholePlant,-76.60708117782508,-1533.5755571400998
WholePlant,-76.62559212394982,-1537.692193020467
WholePlant,-77.08753103229586,-1538.059488708107
Above,-78.37583072887541,-1525.4672688899284
Above,-78.62222820312795,-1529.778398503633
Above,-78.34937258216675,-1529.2145205572194
Above,-79.76030382049534,-1522.8692737665497
Above,-80.83557026475145,-1522.3817924405316
Above,-81.34761749644053,-1521.0850816411798
Above,-80.15980054963067,-1516.1977217637113
Above,-82.91626207919792,-1521.8209283864176
Above,-82.91626207919792,-1521.8209283864176
Above,-79.91087591147169,-1490.7473925304203
Above,-78.29943806240229,-1490.8892019355278
Above,-78.83433663170082,-1478.918088948996
Below,-88.23069926037206,-1572.3624737934808
Above,-93.99946715870757,-1520.4785977715972
Above,-91.66088885942264,-1523.9123818482126
Above,-95.4635266790145,-1560.6209558255305
Above,-94.86384664749532,-1544.9065960178195
Above,-93.54837150617605,-1540.7193591614653
Above,-88.37733058872105,-1561.3401031008075
Above,-93.479561087009,-1558.7970594532585
WholePlant,-92.82232909250494,-1460.5138386929932
Above,-85.68304403343492,-1559.7443428892545
Above,-91.31664714638347,-1564.497003361992
WholePlant,-92.62455337173256,-1507.578226266596
Above,-88.2842040044389,-1541.6968820046036
Above,-89.95017358654175,-1565.2783133128114
Above,-92.76083510027456,-1552.603443460174
WholePlant,-93.49339257030681,-1472.2891037585061
Above,-89.4128860164491,-1559.4378672944208
Above,-91.9283240942004,-1555.0536133534238
