left_genes,left_loadings,right_genes,right_loadings
AT1G02280,-0.016267160892643674,AT1G03050,-0.00047630845143741235
AT1G03630,-0.016541253427671057,AT1G04470,-0.0002569110426459261
AT1G04940,-0.01638462381616016,AT1G04890,0.0001303311317714651
AT1G06550,-0.016584687248732393,AT1G05800,0.00015302156896801616
AT1G08520,-0.01702578750718123,AT1G07025,4.676775543621027e-05
AT1G08980,-0.016538000226223686,AT1G07190,5.2223880930082815e-06
AT1G09795,-0.016930842079007094,AT1G08790,0.00027872182525910953
AT1G10510,-0.01644473656126709,AT1G10385,-0.00044109657117953795
AT1G12800,-0.016769930564994172,AT1G10680,-0.00010397809402593598
AT1G14270,-0.016568264289214128,AT1G11090,0.0025392239908629665
AT1G15980,-0.01625536259752219,AT1G11110,-0.00015260564499471133
AT1G17200,-0.01726262628733852,AT1G14686,-0.0004080248356262476
AT1G17650,-0.016261878559464437,AT1G16225,-0.0005190148225708674
AT1G18730,-0.016774022502288998,AT1G16380,0.0002022695469259216
AT1G19150,-0.016353821926626058,AT1G16980,-0.00021380423701560089
AT1G19715,-0.016494180947755545,AT1G17820,0.0004317612538768243
AT1G20810,-0.016716311986511304,AT1G18530,-0.0005641071170549166
AT1G31180,-0.016498041586321996,AT1G18870,4.73737996719954e-05
AT1G31230,-0.016575962489939252,AT1G19250,0.018671538102661103
AT1G32470,-0.0167518483362803,AT1G19550,-0.0003585095455857457
AT1G33780,-0.016442960922128453,AT1G20000,-3.074133533961564e-06
AT1G45474,-0.01628814694550039,AT1G21870,-4.0521775779658585e-05
AT1G49430,-0.01683407526547447,AT1G22100,-0.000491902987987839
AT1G51110,-0.017198134694723963,AT1G22670,-0.00026149581314434595
AT1G52510,-0.01687152920857448,AT1G23770,-0.0004890120313465231
AT1G53800,-0.016803013833181266,AT1G24793,-0.0
AT1G54350,-0.01656069311375992,AT1G24807,-1.9421139491180443e-06
AT1G55140,-0.01721701781483884,AT1G28160,-0.0002568075692938307
AT1G60550,-0.01717473470420991,AT1G28180,7.284939021410757e-05
AT1G60600,-0.01678187133501095,AT1G29870,1.8326101119112568e-05
AT1G62780,-0.016841968173021575,AT1G30050,-0.00023598595583481448
AT1G64150,-0.016315044462410572,AT1G32250,-0.00046270647297196645
AT1G65230,-0.016365619171028398,AT1G32850,-0.00044275768177014533
AT1G66430,-0.016446314732851457,AT1G33920,-2.1505322012510584e-05
AT1G69200,-0.01668731679849966,AT1G35170,-0.0005779529132827832
AT1G72640,-0.01730148829375778,AT1G35490,-0.00039345145573961695
AT1G73110,-0.016821331239609875,AT1G37010,-1.5901741172645423e-05
AT1G74880,-0.017492688606453633,AT1G42615,-2.087445782284549e-05
AT1G76450,-0.01747494529882683,AT1G43330,5.358276934376458e-06
AT1G78915,-0.016874889030104534,AT1G43780,-0.0005431587428294972
AT2G05990,-0.016411841211604133,AT1G44318,-0.00019941169082895692
AT2G20260,-0.016753350455496325,AT1G48980,-6.539234354410335e-05
AT2G21280,-0.016530515263588064,AT1G49015,1.199190430101675e-05
AT2G21370,-0.016516233002270276,AT1G49810,-9.772798572657691e-05
AT2G21385,-0.01635394959974447,AT1G51260,-0.00028333075592755285
AT2G21530,-0.0171310459989783,AT1G53880,6.281626059367364e-06
AT2G22230,-0.01675296844513302,AT1G54070,-0.0005228529838211082
AT2G24020,-0.016351618475446205,AT1G55546,-5.6609957343983005e-05
AT2G24060,-0.016579396287054255,AT1G55928,8.036262314233972e-05
AT2G24270,-0.01662024738360343,AT1G58050,-2.9514707013271495e-05
AT2G25840,-0.01637530631027851,AT1G61940,-0.00018148015162647746
AT2G26250,-0.016495786972042216,AT1G63060,-0.00022792926286016075
AT2G26330,-0.01694824936144572,AT1G63210,-0.0005552047402931883
AT2G26900,-0.01642228295491694,AT1G65630,-0.0005608492513481474
AT2G26930,-0.016992976281730302,AT1G66170,-0.00047647158873618606
AT2G29180,-0.016748826452902994,AT1G68090,0.00010387559226887016
AT2G29530,-0.01642303782287983,AT1G68750,-0.0002419024021945592
AT2G30010,-0.0163383902489808,AT1G69190,-6.480944690319736e-05
AT2G30695,-0.016483522767489555,AT1G72590,-0.0002063510628409213
AT2G32500,-0.01719478680630952,AT1G73805,0.014641334704025363
AT2G34470,-0.01662607077376496,AT2G01360,-0.00014820369563391485
AT2G34640,-0.01705327719096019,AT2G05370,-8.160377785595659e-05
AT2G36990,-0.016740485570485228,AT2G05720,0.00017908122672561193
AT2G37500,-0.016624501676238017,AT2G06960,-1.090219469323444e-05
AT2G39080,-0.01653846740872381,AT2G07110,1.588980367347046e-05
AT2G39470,-0.017430147425405676,AT2G10550,4.507389273883388e-06
AT2G39670,-0.016608727594063726,AT2G13620,0.0001328980501678192
AT2G40490,-0.016538272937019524,AT2G14635,-5.82267767732773e-05
AT2G42220,-0.017459142080505193,AT2G14695,-2.5017852257728973e-05
AT2G42840,-0.017179499022412448,AT2G15680,0.0004717731612066421
AT2G43360,-0.016621925450299065,AT2G17180,0.0002360812499941031
AT2G43560,-0.017463100256772814,AT2G17730,0.0022060211358403328
AT2G44920,-0.016986844835853526,AT2G17890,-0.0004605033519196489
AT2G45190,-0.01735660768901832,AT2G18080,0.00012837549541646752
AT2G47240,-0.017399818230288785,AT2G18590,-0.00038558274505048375
AT2G47940,-0.016900482995623016,AT2G19410,-0.0005376396917448178
AT2G48120,-0.01642514128787217,AT2G19570,0.002236004385559287
AT3G01440,-0.016294638457795423,AT2G23096,-0.000435776063282564
AT3G01480,-0.016461357713410184,AT2G24000,-0.00036572465103651186
AT3G03710,-0.016283750157077496,AT2G24130,1.2616056915062677e-05
AT3G07050,-0.016618177472791568,AT2G24410,-0.00016845073867886287
AT3G12080,-0.01631525888686396,AT2G25500,-0.0002666067463670742
AT3G14930,-0.016356186379575904,AT2G26400,0.015253510677158136
AT3G15520,-0.017018808515378077,AT2G26610,1.7349641670689988e-07
AT3G16000,-0.016320718304632484,AT2G27750,-0.0002771116875959993
AT3G16250,-0.017297499870056996,AT2G28020,-0.0002540149812726736
AT3G17040,-0.016491376710081603,AT2G28850,-0.00026773004552404676
AT3G17170,-0.0169987472058492,AT2G37730,0.0001145665350705027
AT3G18390,-0.0163328392540797,AT2G41451,-0.00039413895146730993
AT3G18680,-0.01713181035808579,AT2G42180,-0.00040705049693618177
AT3G24430,-0.016671299413746565,AT2G42370,-0.0005590984306552361
AT3G25660,-0.01626639487226441,AT2G43795,-0.00016457161712603996
AT3G29185,-0.017219710462339416,AT2G44990,-0.00031744970801321287
AT3G46780,-0.017236519525227468,AT2G47115,-0.0004989103433652713
AT3G47860,-0.016689638813475786,AT2G47430,0.00011605151717517801
AT3G48420,-0.01678200651973674,AT3G01020,-0.00017167385295756478
AT3G48500,-0.016732290531628398,AT3G02910,0.010734845467845252
AT3G48730,-0.016674790530719612,AT3G03800,-0.00033990159175388335
AT3G51820,-0.016506967963677472,AT3G05300,-8.860575116183721e-05
AT3G55330,-0.016590711934801418,AT3G05310,-6.071344380531899e-05
AT3G56160,-0.017467479893444618,AT3G05540,-6.744786741723338e-05
AT3G59780,-0.017019458783758896,AT3G08790,-0.0005651779420815043
AT3G62910,-0.016682516193856488,AT3G10585,-1.1300960077790755e-05
AT3G63190,-0.01665289835876236,AT3G11920,-0.00046365787163249884
AT3G63510,-0.016399312305517614,AT3G12030,0.00263021409125085
AT4G01050,-0.016244833284188253,AT3G17060,-0.0002082169674490578
AT4G01800,-0.016458496663162833,AT3G22510,3.753077840377897e-05
AT4G03210,-0.017121765405883692,AT3G22530,0.003413519153738582
AT4G04350,-0.016257970608509857,AT3G25420,-0.0002388439255774786
AT4G09010,-0.017831617205222555,AT3G27830,0.010901341575263868
AT4G15110,-0.0164043478316508,AT3G42830,-0.00023101076053187652
AT4G17050,-0.016603139303992192,AT3G43120,-0.00018614082229339047
AT4G20130,-0.017483470447165306,AT3G45577,2.818080109456389e-06
AT4G23820,-0.016695409177735532,AT3G45810,0.0001432213835524672
AT4G24090,-0.016410993344977007,AT3G47440,-0.000338535461511437
AT4G26370,-0.016404963294364684,AT3G48960,-0.00037757988000723447
AT4G26555,-0.016576426801796093,AT3G52080,0.00024714867752363316
AT4G27700,-0.016539470190223695,AT3G52430,0.013043530331313924
AT4G28706,-0.01684875287725485,AT3G54630,0.00027137195485970065
AT4G31040,-0.016765410051898993,AT3G58390,-0.00015047666045425902
AT4G33520,-0.01629867292534369,AT3G60460,7.501068457285247e-05
AT4G33630,-0.016350385520557453,AT3G61730,-0.00031328973750927437
AT4G34020,-0.016345229060073286,AT3G63320,-0.000399496824751596
AT4G36250,-0.01689133911714452,AT4G01245,-2.944372140503788e-05
AT4G39120,-0.016998166212990128,AT4G02720,-0.00017621710872225163
AT4G39970,-0.016560651999473184,AT4G05230,-0.0003262319719524208
AT5G02120,-0.017002858154409814,AT4G08550,-0.00014565080860406136
AT5G02940,-0.016333076162034263,AT4G08990,-0.00025707249020032646
AT5G03940,-0.01735532938440699,AT4G14890,0.004899020951118579
AT5G05740,-0.017089597071817005,AT4G17580,-0.00023384750872926433
AT5G10480,-0.016752806741918053,AT4G17590,1.680103661254365e-05
AT5G10690,-0.016540191919706453,AT4G22285,0.0008355878253833565
AT5G11450,-0.01693542435141297,AT4G24715,0.00010655097816223371
AT5G13410,-0.016576631592050105,AT4G25200,0.00016089791094422445
AT5G16715,-0.016246327333170423,AT4G26440,-0.00010295322229906264
AT5G18570,-0.016795026416193844,AT4G27670,-6.547984949469367e-05
AT5G20130,-0.016611105251545286,AT4G28620,1.7190911989160547e-06
AT5G20140,-0.016699920577893778,AT4G30770,0.0001605428430411513
AT5G21430,-0.0164980817654651,AT4G37420,-0.0003537919666502709
AT5G23060,-0.016307919796421967,AT5G04500,-0.0004673206713142636
AT5G35220,-0.016315536899345756,AT5G04610,6.924436285485001e-05
AT5G39830,-0.01719781561047805,AT5G09280,-3.158180351629704e-05
AT5G43750,-0.01642336217547292,AT5G11080,-0.0001749638273541894
AT5G44650,-0.016417234501682584,AT5G15100,-0.0005723565702466842
AT5G45680,-0.017282570112493092,AT5G15770,0.0011390233195522415
AT5G47500,-0.016734676882916456,AT5G16460,-0.0002586166540825942
AT5G49030,-0.016586160701163952,AT5G19610,1.570862867570297e-05
AT5G51010,-0.016398338775460167,AT5G22260,-0.0005759633533102986
AT5G52100,-0.017319662025782445,AT5G26680,0.0007269245967692848
AT5G53490,-0.017407489272777125,AT5G35600,-0.0005081795639485318
AT5G53580,-0.016292381333626666,AT5G39680,0.004379898324127735
AT5G55220,-0.017343220741121983,AT5G42340,0.00010013059931304138
AT5G55280,-0.016739437483710557,AT5G43940,0.0009369918712676094
AT5G56850,-0.01628474203292682,AT5G45640,-8.501612309204636e-05
AT5G57030,-0.016712159743513987,AT5G52180,0.0009552332520452727
AT5G62790,-0.016794070081074378,AT5G52190,0.0014666102055233385
AT5G64860,-0.016592899265292487,AT5G52400,-0.00017700725955953534
AT5G65770,-0.01640074493844464,AT5G56110,-0.0005126492947763651
AT5G66470,-0.017084661572950494,AT5G61050,-2.6250651151040506e-06
