AboveBelow,PC1,PC2
Below,-81.75695594446253,-1535.3636355235396
WholePlant,-81.63925934061635,-1552.4193652151264
Above,-48.599809036907686,-1549.914361869105
WholePlant,-81.06524975410605,-1555.5281667486393
WholePlant,-81.23282182313437,-1553.995575647154
Below,-79.76291910026698,-1558.8300026466131
Above,-81.35205608495062,-1551.128979752807
WholePlant,-79.65880595199684,-1476.0578176604436
Above,-82.08796233238833,-1536.3507061889109
Above,-82.36532569605498,-1543.9437816824957
Above,-79.89578727848149,-1544.5555263884892
Below,-82.2212313024546,-1556.9369802318133
WholePlant,-82.23991231036659,-1547.8059081762915
Below,-80.5610453765209,-1568.109612613489
Above,-83.03938958759299,-1515.7557151055248
Above,-82.86248744694564,-1542.9682173725005
Above,-82.99548304184756,-1532.691323181295
Below,-80.85828344566761,-1560.5748290539714
Below,-82.82362592088498,-1533.103383831587
Above,-83.84564888268999,-1532.0625895838905
WholePlant,-80.23029949375767,-1522.69987331703
WholePlant,-79.8899467053457,-1563.1773796173668
Below,-79.2485864173513,-1533.7556930294288
Other,-81.23790728800678,-1551.7478832778202
WholePlant,-80.72496378723972,-1548.8637539831211
WholePlant,-82.02965962988043,-1547.7805173192467
WholePlant,-79.56505326274785,-1526.0389542613275
Above,-81.670876261784,-1541.1488740767418
Above,-81.57946597565417,-1541.3680402889104
WholePlant,-83.14976037015134,-1546.5179627977052
Above,-82.0756603170733,-1548.9440997354204
Other,-81.76063594267266,-1544.7592898616833
WholePlant,-82.59926074001235,-1544.7115148217306
WholePlant,-81.72010775687497,-1561.0591859814574
Below,-81.83947127726019,-1541.1926959591174
Above,-82.55781194157198,-1544.6954856402133
WholePlant,-77.20484237435447,-1515.9319578913346
Above,-52.80640710239531,-1550.4174924899069
Above,-83.31911178344099,-1523.3525080989987
WholePlant,-83.0672807657827,-1551.2601356496496
WholePlant,-83.51085755215871,-1529.5344450557627
Above,-80.90528490374548,-1513.2461545467788
WholePlant,-83.11070637296,-1567.0714068152035
WholePlant,-80.31204575899821,-1569.271272875976
Below,-81.10307693023243,-1536.0205129329363
Above,-81.12561145554756,-1552.9113280075428
Above,-81.36540334289175,-1552.7005338186855
Above,-51.910888444869016,-1550.7499804851489
Above,-70.84023604411969,-1528.0628323256035
Other,-78.9562342438896,-1561.9745913212885
WholePlant,-81.99323480173584,-1548.36425967461
WholePlant,-81.47245078561183,-1542.760174585997
Above,-72.73735508207474,-1535.775565383793
Above,-80.41773445931693,-1551.7825953602185
WholePlant,-83.19842634128176,-1552.6567602885107
Below,-82.89820600944343,-1541.5479030271408
Above,-80.78351135918699,-1556.0528646196476
Below,-82.12829723470479,-1548.5845990833425
Above,-83.80596722868998,-1553.7455503657134
Above,-82.76586886849121,-1523.4661077418893
Above,-82.67612970749691,-1533.8284121629142
Above,-81.76010314310074,-1549.3766723646456
Above,-82.41680904633246,-1536.3899950596833
Above,-82.07705629265402,-1552.5561091685681
Other,-82.47953438324237,-1542.1608323521511
Other,-82.51584130504826,-1535.605261480444
Below,-82.16487104008348,-1556.0716178643513
WholePlant,-79.5191828358345,-1566.9585936409085
WholePlant,-81.27993829615158,-1516.8124610734078
Above,-82.46867261171586,-1534.0269986148976
WholePlant,-82.66767809417456,-1546.9607912540919
Above,-83.09053103350355,-1553.54488236632
Below,-83.63533024116461,-1512.0496107685544
WholePlant,-81.31338127655278,-1519.0743581210243
Above,-82.35498707955622,-1541.2150515128521
Above,-79.0069858770441,-1546.3008635858741
Below,-81.17459446407503,-1540.8280574719945
Above,-83.21560740263644,-1533.9320937727932
WholePlant,-79.93130451476226,-1552.2693999179355
Below,-80.16463949885714,-1556.8613161657836
Above,-79.61489767742974,-1569.7973411088353
Above,-82.20837011307148,-1536.556726755182
Below,-80.39925631061656,-1575.1225744145795
WholePlant,-80.82518869126076,-1512.1558309343186
Below,-80.30259294612031,-1557.1359711752932
WholePlant,-80.43594945812238,-1521.1737103194184
Above,-82.8082291524334,-1563.1036016939145
Above,-79.89072560499237,-1570.7578185706616
Below,-82.23420579088234,-1539.7398453312283
Above,-80.42245747586432,-1554.097635305273
Below,-81.74879447004236,-1550.6677154692522
Below,-79.22268094954984,-1550.1928932154644
WholePlant,-82.47399309629162,-1542.3922573476768
WholePlant,-80.9552043154799,-1521.4266349928535
WholePlant,-81.84000861590079,-1573.0873970728717
WholePlant,-82.68251125272027,-1541.2905311796294
WholePlant,-82.44340910057655,-1548.585078231977
Above,-83.01582685238184,-1526.4093569862305
WholePlant,-81.2625824021804,-1533.9074722644582
WholePlant,-81.27584426559265,-1558.2059871953957
Above,-77.86661821566452,-1545.5070647984326
WholePlant,-81.82790478024542,-1554.0234595142404
WholePlant,-83.12619631042301,-1538.4059702624822
Above,-81.63629225822875,-1523.5229669565542
Below,-71.70756874894116,-1522.7214764937003
WholePlant,-78.59292564921905,-1570.9877079028822
Above,-80.41400459028212,-1562.3009586042613
Below,-82.3005435596206,-1537.8734644403896
Above,-80.74020380696308,-1540.977631831375
Above,-79.3726465649527,-1569.6458694263392
Above,-82.8086141055123,-1532.624198455439
Above,-83.33816341523372,-1552.8733003192372
Below,-81.14488532535829,-1572.896454704784
Below,-80.16195375095172,-1571.9972444709233
WholePlant,-80.98083686536731,-1536.9822660380432
Above,-80.7463787130082,-1555.0060783144468
Other,-82.05217058903946,-1520.6994521741997
Other,-84.46274394726315,-1524.7561727087063
WholePlant,-82.69570590492279,-1541.8544083748595
Above,-83.81684795610825,-1555.2454937495404
Above,-81.15633951434846,-1544.334201780687
Above,-83.76195011157634,-1513.2850287332383
WholePlant,-82.29494865131049,-1557.0063118322923
Above,-81.71647980693083,-1551.919768310676
WholePlant,-81.1226113698258,-1528.1759613601675
Below,-81.72199124788492,-1470.071215628472
Above,-82.25531619704834,-1504.1801941613685
Above,-82.3242905682833,-1532.6708843612512
WholePlant,-81.36363381485873,-1535.652867010969
Above,-83.4527353630202,-1539.040538312197
Below,-81.71933282862469,-1561.0613476157826
Above,-83.22735964242138,-1545.3322566149566
Below,-82.35212571956782,-1531.9504962202739
Above,-81.36930974621967,-1549.5549767699963
Above,-81.09707243138367,-1546.8145245213836
WholePlant,-79.06531799940139,-1570.0139928273438
WholePlant,-82.57442619257958,-1566.4328349075495
WholePlant,-82.3558883639155,-1541.165597614211
WholePlant,-82.07806889875899,-1528.8118258132706
WholePlant,-80.27524741909932,-1573.0187451299616
Above,-81.20749555312659,-1514.5151761924176
Above,-81.87785975663522,-1546.3882882558794
WholePlant,-82.32855684080639,-1528.3036422434059
WholePlant,-82.01329172781392,-1540.84420060214
Above,-84.39250328435168,-1497.049313507082
Above,-82.29893456815756,-1547.5959773680745
Above,-81.54782063769346,-1544.6605132232557
WholePlant,-82.34480724697958,-1481.1223872088601
WholePlant,-80.78587759870652,-1556.5944460434673
Above,-81.85977248575638,-1556.5415777295045
Above,-82.84915576823161,-1541.655680281442
WholePlant,-80.89011316638252,-1561.4067683401092
WholePlant,-82.75533108948446,-1535.703198959615
Other,-80.34473264980309,-1549.7523185005732
Above,-47.340442189721884,-1550.2152463986235
WholePlant,-81.21303084418302,-1548.1530222330562
Above,-81.84830536172537,-1548.7071641265336
Above,-81.46182214393708,-1534.5374435724227
Above,-82.04259241992038,-1536.435147109463
Other,-81.15531485196502,-1561.8123723625272
Above,-82.44582519027448,-1530.9328004095958
WholePlant,-82.58637217219487,-1534.521691639739
Other,-82.39368202793557,-1559.7340325704781
Above,-81.47234358337609,-1567.7715395839691
Other,-81.84617524652644,-1532.4060543241058
WholePlant,-80.97754788804984,-1566.2186576746985
Above,-83.86381657065196,-1446.6839652965311
Above,-82.04589484907467,-1552.660197051005
Above,-81.24347783720313,-1546.8080735670594
WholePlant,-80.50760546005584,-1555.811363355046
WholePlant,-81.88553441769538,-1556.2154598203915
Above,-82.95444046377476,-1532.1129460097927
WholePlant,-82.41378798628514,-1543.9457158559992
WholePlant,-81.37173712547312,-1544.4284807882152
Above,-82.26637118205879,-1541.5589667759323
Above,-79.63973489822504,-1573.355753978953
Other,-82.462712948149,-1558.0054083895052
Above,-81.04563093045536,-1548.1042134994445
Above,-80.31519258073912,-1564.4763879285667
WholePlant,-80.97012526744454,-1542.2616830645256
WholePlant,-81.32055472188259,-1547.5633518545146
Above,-82.29196208928512,-1542.8860189623324
Below,-81.33946812513099,-1520.656507804153
Above,-82.71324806559882,-1540.614311150856
Above,-83.30301367881111,-1524.9210546240834
Below,-82.16736877631448,-1535.9920180836027
WholePlant,-80.71732473445897,-1549.1730400401282
WholePlant,-81.66908375244708,-1545.9177231878307
Below,-82.76768371525093,-1502.738359433801
WholePlant,-81.75291604030704,-1543.0707576397351
Above,-44.80085173141695,-1547.1260056058943
Below,-81.26641365954875,-1560.5294372396315
Above,-80.47255770348185,-1557.7816954707955
Above,-81.9797303213944,-1554.5778294517108
Below,-81.77820569480603,-1547.6351022947833
Above,-82.47026673896876,-1481.4891687692332
Other,-81.35328753245189,-1540.938050628354
Above,-55.21717345910243,-1546.927626450802
Below,-82.22286441287707,-1572.3701960828962
Above,-80.65464945389823,-1560.685354626101
Above,-81.65086650470451,-1567.4426893654797
WholePlant,-81.01820625965327,-1563.253256959895
WholePlant,-82.01274178257627,-1549.7054028704665
WholePlant,-81.86493339056153,-1542.2511680539787
WholePlant,-82.54274503094963,-1534.6937617984745
WholePlant,-79.74339476841234,-1542.290888389165
Above,-83.31648760515918,-1541.3805127520554
Below,-81.8995435293185,-1560.526670790193
Other,-83.84913079609848,-1528.6748232873185
Above,-82.81823617605704,-1535.1250152520442
Above,-81.35905243656929,-1545.7308544524972
Above,-81.19289363360676,-1552.3819404184908
Above,-82.03394690725624,-1558.3617525343147
WholePlant,-81.30731029445549,-1554.7282849547264
WholePlant,-81.42462880902349,-1564.7074510347486
Below,-81.50068398280223,-1531.5423045299965
Above,-82.34457189771265,-1546.237652253023
WholePlant,-82.48034294189884,-1541.954997247173
WholePlant,-80.90191515961692,-1552.3810792939623
Other,-81.45450975908017,-1543.1146142141463
WholePlant,-82.75689011676745,-1530.2618367660014
Above,-81.81432203819286,-1548.7453531689905
WholePlant,-81.15576790627146,-1531.9680029536653
Below,-81.49276675140725,-1550.7480060187295
Above,-82.63923682307063,-1546.5542212037535
Above,-83.45996965958744,-1483.6523051625982
WholePlant,-82.15637432047188,-1531.1320476124458
Below,-82.37684344208512,-1546.6795071414065
Above,-80.470218261094,-1571.3891423108203
WholePlant,-80.81797596009172,-1527.4287592648902
Above,-82.3388328777792,-1541.7552478898715
WholePlant,-83.0580437051466,-1539.8409376359873
WholePlant,-83.41912259726534,-1513.8401742160734
Above,-81.21457849995328,-1575.380097437855
WholePlant,-81.73478090496982,-1557.720757087411
Above,-81.83089377428303,-1546.609465771968
WholePlant,-80.57677601063338,-1553.6753601116025
Above,-83.69059819704353,-1524.356380833356
Above,-79.92868727661988,-1559.6929932396185
Above,-82.9062574137174,-1529.6075110456968
Below,-81.37939052596266,-1550.1019835741438
Below,-80.87686247982698,-1546.339240099196
Other,-82.9470612514123,-1525.8622798197819
WholePlant,-81.89370851513964,-1515.7844199827937
Above,-82.07776210699284,-1535.8975428613612
WholePlant,-81.64478585396922,-1539.2270462787546
Above,-79.49146046238862,-1562.042516369221
Above,-83.29674122674312,-1543.9204824096714
Above,-80.83799102460343,-1558.4371688523433
WholePlant,-83.44833362579993,-1508.78018786542
Above,-82.69607657791445,-1572.2499019196835
WholePlant,-82.22658028757277,-1538.7523691924835
Above,-81.07938378808967,-1550.6522091828774
WholePlant,-82.50451824034224,-1543.3002811742574
Above,-82.34230991168434,-1571.9163382145841
Above,-81.83546013123986,-1545.477219462371
Above,-80.38407934989135,-1527.5771656327136
WholePlant,-82.01942865975141,-1548.4866325721125
WholePlant,-83.43606648276713,-1520.9490465530891
Above,-83.15823401713224,-1523.9741451705727
WholePlant,-81.75017033156209,-1557.9179680728191
Below,-82.17403831598403,-1542.6733687974915
Above,-81.70954895194967,-1550.9337924910908
Above,-81.33393133674846,-1542.8669630935935
Above,-83.6922960916688,-1505.530906065347
Other,-83.7250565150273,-1517.1950634744276
WholePlant,-80.70827821603417,-1539.7235967839529
WholePlant,-81.77450209108356,-1553.0984922762498
Above,-81.84851676909851,-1573.3989805495485
Below,-83.07945741807973,-1527.0541808822318
Above,-81.65011410521367,-1538.5199198325483
Above,-81.22652877753102,-1540.0105159057532
Above,-80.76498384667227,-1520.4614416588004
Above,-82.36268236656922,-1541.8119637048826
Above,-84.38604369562044,-1551.9330143333452
Above,-79.594229891985,-1572.9454600860056
Above,-84.77620383505524,-1498.9989651681244
Below,-80.12784890087298,-1525.2687999951786
Above,-80.10721232518117,-1552.564865781367
WholePlant,-81.65359397395467,-1542.1390576199803
Above,-82.60275376527264,-1526.062641737552
Above,-81.35785374908058,-1540.9292019533923
Other,-79.57361096928973,-1560.2142050365333
Above,-81.24931655810471,-1545.0388054087841
WholePlant,-80.99759104475919,-1502.7789472186946
Above,-79.02197957046761,-1564.7260635984558
Other,-84.04639210631782,-1527.8809659058484
Above,-79.34056010410121,-1573.4936386550294
Below,-82.97560731354858,-1555.3001828599656
Above,-82.69983039540115,-1538.2661492595857
Above,-80.45322241011465,-1569.8189991650106
WholePlant,-82.37542851502707,-1538.6182260443577
Below,-82.87941559633776,-1544.0898505556515
WholePlant,-82.30933463536654,-1553.554270808217
WholePlant,-81.48542001705461,-1537.0831598962118
Above,-81.1711178786683,-1553.8624220832628
Below,-81.44692613591613,-1540.2113933556727
WholePlant,-81.85516767735197,-1537.5242068098328
Above,-82.04446450628551,-1526.4081092724255
Below,-82.13563068062508,-1555.2918698035587
WholePlant,-80.37971915994785,-1556.5144031508805
Above,-82.6225835590035,-1557.3320754645276
Above,-81.77793440319074,-1551.3379550821262
WholePlant,-83.18034330848951,-1530.858710294018
Above,-80.456329175393,-1569.2553882695304
Below,-80.04476038641228,-1573.2515069923993
WholePlant,-82.36488668973662,-1534.1691218670635
Above,-81.04063094927582,-1542.7179677538459
Below,-80.06382450169119,-1550.8461771803811
Above,-80.65921557027954,-1559.7654046720575
Above,-83.02121215584688,-1540.0512093353348
WholePlant,-79.78341502653507,-1473.5031843711758
Above,-83.2770340342555,-1526.8947451579256
WholePlant,-81.90042197744074,-1552.8743700550106
Above,-78.07737402151804,-1567.01903031879
Above,-81.77787754838641,-1538.1939272742934
Above,-80.71800660754222,-1561.5766387941721
Above,-82.80299673426639,-1532.8189409054771
Above,-81.16612863621643,-1553.2245468356507
WholePlant,-79.50521752667535,-1472.9821260916926
Above,-82.81911052624756,-1527.3299226623703
Below,-80.41128389204871,-1537.9221390801663
Above,-83.37451466582262,-1510.3341060269474
Above,-48.53601465911173,-1550.0939181809313
WholePlant,-81.25574161843335,-1550.5935421294898
Above,-80.32748445106134,-1521.7075336365424
WholePlant,-83.21039678989804,-1527.7124206912586
Other,-79.79208921042976,-1573.1258460305478
WholePlant,-80.54279367764948,-1554.6353044311459
Above,-83.44446896203138,-1515.3058137366802
WholePlant,-81.27171667465743,-1530.9989189692133
Above,-81.29016079803257,-1551.828799656724
Above,-77.0854298486245,-1509.3936107888214
WholePlant,-81.63177897265832,-1560.2585908131377
Other,-80.97928367246287,-1530.1355086939136
Below,-82.18584845729912,-1545.953958087628
Above,-80.64620284603598,-1527.231474005304
WholePlant,-81.55573255194876,-1550.5008938231083
Above,-78.7885214623077,-1531.8676590762886
WholePlant,-80.69269826758482,-1543.9548233925786
WholePlant,-82.2376105649009,-1535.3261496421646
Above,-82.86490052767068,-1523.2508451075628
WholePlant,-81.86234696289209,-1546.4529701817657
WholePlant,-82.43564738667949,-1536.911655207717
WholePlant,-82.71387418170889,-1531.81269665977
WholePlant,-83.732291434512,-1532.3065058589073
Above,-82.2962055658059,-1543.5394615426299
WholePlant,-79.7406199938406,-1560.5883721694165
WholePlant,-81.64647462475986,-1547.9322510761522
WholePlant,-82.11025637311113,-1535.3571959777917
Above,-79.48651052321925,-1558.246860902121
Above,-81.72280104913102,-1555.2843382577703
Other,-82.3639038745048,-1546.134398140356
WholePlant,-80.89883976383615,-1559.3829545475944
WholePlant,-82.31106081269762,-1523.8967013687409
Below,-81.67901845742591,-1533.6103621408017
Above,-82.91633304429287,-1530.9909268951305
Above,-81.64072489677295,-1533.1534305430566
WholePlant,-81.77385664173889,-1549.7600564141324
Above,-82.47792412586176,-1544.8155122672931
Above,-81.15568181249506,-1521.6371461320944
WholePlant,-80.86304211895072,-1543.9625447253688
Above,-81.52904281928127,-1542.0538453514168
Above,-80.32934114420651,-1533.3292151625753
WholePlant,-81.44134695498374,-1524.7359899449598
Above,-81.75490638727179,-1544.3444275548584
Above,-80.75455155745831,-1557.2613472968055
WholePlant,-86.19289622561084,-1466.662373179985
WholePlant,-82.28924862525216,-1546.7610396460288
Below,-79.91723593718841,-1573.72229256791
Above,-82.10580761431238,-1541.9474865635432
Above,-80.63095116647638,-1560.1273884817608
Above,-79.74770968624088,-1571.9273570528962
WholePlant,-80.23459310009194,-1492.1002991914972
Above,-66.49412149867392,-1547.4194839935265
Above,-79.8680086708059,-1553.697048656452
Above,-80.98350199422676,-1545.9278333496547
WholePlant,-82.48992774582705,-1550.214447561813
Below,-82.72532075383243,-1573.0391299621285
Above,-81.62620247141876,-1547.1794914767786
WholePlant,-76.41791153084421,-1538.0193540256437
Below,-82.45922180970365,-1548.5073466080053
Above,-81.34155254015147,-1544.006626006705
Above,-81.90262576033497,-1544.6464591277966
Above,-82.97459293779389,-1529.4958663428215
Above,-79.63109738831893,-1571.6673411504335
WholePlant,-81.68258829002808,-1546.7783934442855
Above,-81.54615418504525,-1537.5051336240529
Above,-81.35851578947805,-1546.0542794063126
Below,-81.9064702828372,-1542.003397505006
Above,-82.88738031688212,-1528.791446238283
WholePlant,-83.26129189599291,-1509.7234269664914
Below,-80.61779218202868,-1566.1345810530142
Above,-79.72669070041805,-1571.2131124001487
WholePlant,-77.37877437261562,-1559.5054198730652
Above,-81.44175570144674,-1549.8918699294336
Above,-82.62445482134821,-1566.0133361955836
Above,-83.61579213281021,-1580.8331322294146
Above,-82.0057339031093,-1542.053894529053
WholePlant,-80.54023398479235,-1550.7972193741036
Above,-79.378772733228,-1561.2367873544467
WholePlant,-80.06927792407345,-1562.817973025113
WholePlant,-82.5441442786018,-1519.0595029867961
Above,-81.23246381154217,-1515.68347954798
Above,-49.52230819641813,-1550.3859385298128
Above,-80.77731806370436,-1570.6888370854056
Above,-82.71306594418012,-1542.5085287568272
Above,-81.6116985754268,-1542.3038685913036
Below,-79.94801197266116,-1569.6932563197986
Below,-80.88615330346914,-1530.0779566050544
Above,-46.28625746388298,-1550.2812419699906
Above,-78.35751092135453,-1563.8680346239287
Below,-82.78477436277859,-1536.7471142737745
Above,-82.46919380721475,-1533.774399795104
Above,-81.17644130152249,-1521.3333332774723
WholePlant,-81.07714195060522,-1535.6287793570777
Above,-81.82950258658545,-1534.9160540364014
WholePlant,-83.46979969328395,-1549.287111660717
WholePlant,-81.440933075361,-1547.4612823453888
WholePlant,-83.64733989960303,-1527.6399305877676
Above,-80.87280198118853,-1547.409857740438
Below,-82.20847459572734,-1546.9899081004905
Above,-82.94742145705315,-1569.225031443507
WholePlant,-82.15736957693927,-1561.6350069550588
Above,-80.9030573741138,-1572.7611700068426
Below,-79.97308060990115,-1564.676870422391
Above,-54.48028237814898,-1550.1908744902141
Below,-83.90456647237951,-1518.4200546328473
Above,-82.16415043769582,-1534.727272197224
Above,-82.2467476654525,-1540.283253704545
