genes,loadings
AT1G01020,-0.007419637755223015
AT1G01030,-0.005087804202809073
AT1G01040,-0.007150458109935357
AT1G01050,-0.008008553499209384
AT1G01060,-0.006499035214680147
AT1G01070,-0.0076921612894953785
AT1G01080,-0.008033142288099036
AT1G01090,-0.007201539440947494
AT1G01100,-0.007005484907943677
AT1G01110,-0.0064889514543974396
AT1G01120,-0.008637346016381008
AT1G01130,-0.006959953531676585
AT1G01140,-0.008480262014867191
AT1G01150,-0.0009017103264859548
AT1G01160,-0.008874207026840386
AT1G01170,-0.009055058599079457
AT1G01180,-0.006466201417147473
AT1G01190,-0.005751880979838628
AT1G01200,-0.005361898355087435
AT1G01210,-0.008917962332157565
AT1G01220,-0.007673132374621465
AT1G01225,-0.006790304008495085
AT1G01230,-0.008449976455510046
AT1G01240,-0.00654892467030767
AT1G01250,-0.004126032786148645
AT1G01260,-0.006383221570064286
AT1G01270,-9.26810029178149e-06
AT1G01280,-0.0004898020412616514
AT1G01290,-0.007178952785832121
AT1G01300,-0.007651582061985455
AT1G01305,3.661146684903253e-05
AT1G01310,-8.838899844559206e-06
AT1G01320,-0.006914731476073372
AT1G01335,7.814898256163371e-06
AT1G01340,-0.006099779878838794
AT1G01350,-0.008054212985887474
AT1G01355,-0.0004894411735035622
AT1G01360,-0.00759534183913192
AT1G01370,-0.007132221101985234
AT1G01380,-0.005245701951140257
AT1G01390,-0.004134142940762478
AT1G01400,-0.00017683267732813553
AT1G01410,1.120780536902491e-05
AT1G01420,-0.005446802987766452
AT1G01430,-0.00902078157903129
AT1G01440,-0.007151423114720434
AT1G01448,-0.0069886542822491906
AT1G01450,-0.003144946418539291
AT1G01453,-0.0022470815945214856
AT1G01460,4.63707954318391e-05
AT1G01470,-0.00660908963249689
AT1G01480,-0.0028604944735613567
AT1G01490,-0.007524862227854822
AT1G01500,-0.006437063415465341
AT1G01510,-0.007841890802241623
AT1G01520,-0.003339042590054359
AT1G01530,-0.0003417012401710746
AT1G01540,-0.008912162246664508
AT1G01550,-0.006542988011515822
AT1G01560,-0.003569117480513465
AT1G01570,-0.005141410705604122
AT1G01580,-0.0050300112152311775
AT1G01590,-0.0011001938663533438
AT1G01600,-0.006682465503011015
AT1G01610,-0.009786152225161918
AT1G01620,-0.009560063138834101
AT1G01630,-0.0090733714462499
AT1G01640,-0.006881296692170422
AT1G01650,-0.007891399594962593
AT1G01660,-0.003934950359566421
AT1G01670,-0.004049290492324305
AT1G01680,0.010969923993477114
AT1G01690,-0.006054390241102918
AT1G01695,-0.0017020840960330326
AT1G01700,-0.0040728919515726075
AT1G01710,-0.008491424605655867
AT1G01715,-0.005815720610578619
AT1G01720,-0.006169356396276227
AT1G01725,-0.007813259810580305
AT1G01730,-0.007152970484099888
AT1G01740,-0.006950107459120406
AT1G01750,-0.007089776322283748
AT1G01760,-0.006556499970157733
AT1G01770,-0.007237547467699477
AT1G01780,-0.008408326029449954
AT1G01790,-0.008564605248653495
AT1G01800,-0.007848985941322531
AT1G01810,-0.0030928502084162013
AT1G01820,-0.008252608663463045
AT1G01830,-0.007654541017349603
AT1G01840,-0.0031692728763609676
AT1G01860,-0.008128470518879405
AT1G01870,1.1645469321391855e-06
AT1G01880,-0.0043351742958771325
AT1G01890,-5.1923245501743145e-05
AT1G01900,-0.006522648860629643
AT1G01910,-0.0077802447036375766
AT1G01920,-0.00811700018821392
AT1G01930,-0.007248934340257375
AT1G01940,-0.008332557410903836
AT1G01950,-0.00818958980444929
AT1G01960,-0.0077003519418526855
AT1G01970,-0.007990044281938063
AT1G01980,-7.285480804745689e-05
AT1G01990,-0.006248503142562586
AT1G02000,-0.005320321946032913
AT1G02010,-0.007075754717648719
AT1G02020,-0.00492744755901723
AT1G02030,-0.0016781520783632545
AT1G02040,-0.000532939092493906
AT1G02050,-0.007205752658016752
AT1G02060,-0.00622114958029914
AT1G02065,-0.00381324858820619
AT1G02067,-0.00046589305074279955
AT1G02070,-0.0026325912129048896
AT1G02080,-0.007801209757240127
AT1G02090,-0.008149648209713948
AT1G02100,-0.00855350558137626
AT1G02110,-0.007982479077588324
AT1G02120,-0.009297091088478985
AT1G02130,-0.00813208759372547
AT1G02136,4.4595197970901136e-05
AT1G02140,-0.006807001458737527
AT1G02145,-0.008809472653629614
AT1G02150,-0.007877157289229574
AT1G02160,-0.008715909628652532
AT1G02170,-0.007563516868649882
AT1G02180,-0.007301002544778276
AT1G02190,-0.0019681828923136598
AT1G02205,-0.007749974034827523
AT1G02210,2.965326586314513e-08
AT1G02220,-0.006813118119310246
AT1G02228,9.948240561353371e-06
AT1G02230,-0.003159662895105561
AT1G02250,-0.00016332218894182164
AT1G02260,-0.007536726943833268
AT1G02270,-0.007960280882862361
AT1G02280,-0.008863560203389591
AT1G02290,-0.007678210350541447
AT1G02300,-0.0084840870973439
AT1G02305,-0.00849361694765026
AT1G02310,-0.0028230762048057317
AT1G02320,-0.0003053252874579334
AT1G02330,-0.008486356020040208
AT1G02335,-0.008855177390099297
AT1G02340,-0.007175476801452069
AT1G02350,-0.00577560555228688
AT1G02360,-0.007425760108202616
AT1G02370,-0.006754551837098453
AT1G02380,-0.005166991709817912
AT1G02390,-0.004290780148147638
AT1G02400,-0.006393367677867842
AT1G02405,-0.0010514162120154476
AT1G02410,-0.007751096535726395
AT1G02420,-0.0036547923043462817
AT1G02430,-0.0031984038109377113
AT1G02440,-0.001902101708780446
AT1G02450,-0.0024011842180377318
AT1G02460,-0.004323837333581091
AT1G02470,-0.004890412450531835
AT1G02475,-0.008302583763377846
AT1G02480,-3.0534018359152546e-05
AT1G02490,-0.0025753489623199116
AT1G02500,-0.004556168099561495
AT1G02510,-0.0002446545197248444
AT1G02520,-0.005520759911249682
AT1G02530,-0.0011880206651755743
AT1G02540,-2.318567308043429e-05
AT1G02550,-2.5450336197286368e-05
AT1G02560,-0.007114226666323423
AT1G02570,-0.0025234949614808167
AT1G02575,-0.0013719900400818693
AT1G02580,-0.0007972669608812652
AT1G02590,2.4191473527078634e-06
AT1G02600,1.7704318787627435e-05
AT1G02610,-0.006094507432434901
AT1G02620,-0.0023555585045559467
AT1G02630,-0.001726452139443252
AT1G02640,-0.008664391959649242
AT1G02650,-0.003039858934295586
AT1G02660,-0.006139357928595488
AT1G02670,-0.0037150100006173043
AT1G02680,-0.007976652778321547
AT1G02681,-6.608601532961731e-05
AT1G02690,-0.008189761608255235
AT1G02700,-0.003115683450429819
AT1G02705,-0.0064831959812411835
AT1G02710,0.0005289898604553415
AT1G02720,-0.007141235440203369
AT1G02730,-0.009055646555899985
AT1G02740,-0.007281486296420491
AT1G02750,-0.007767403445808992
AT1G02760,-7.237180463843259e-06
AT1G02770,-0.0022878165062751392
AT1G02780,-0.006578901561854113
AT1G02790,-0.00018530723252426406
AT1G02800,-0.005107511283861318
AT1G02810,-0.006236515296646214
AT1G02813,-0.0013198089991623603
AT1G02816,-0.005803996217687696
AT1G02820,-0.005728879704062003
AT1G02830,-0.0003596772952673993
AT1G02840,-0.008507189899758077
AT1G02850,-0.006971159756494192
AT1G02860,-0.007925845272162129
AT1G02870,-0.008612766591668354
AT1G02880,-0.007988346280033967
AT1G02890,-0.00876384016559495
AT1G02900,-0.008576092122679936
AT1G02910,-0.008367755388866218
AT1G02920,-0.004100657732327372
AT1G02930,-0.0025576136655226117
AT1G02940,-0.002190840179309274
AT1G02950,-0.008688191399979952
AT1G02952,-0.0010706095001702981
AT1G02960,-0.008190749617757237
AT1G02965,3.890851338868136e-06
AT1G02970,-0.005716511569241126
AT1G02980,-0.0006298429657110344
AT1G02990,-0.006463320096148794
AT1G03000,-0.008058470849686422
AT1G03010,-0.003481105360960676
AT1G03020,-0.003237089935319459
AT1G03030,-0.008077706360402141
AT1G03040,-0.008321594790239431
AT1G03050,-0.0001664422869006152
AT1G03055,-0.00595149580693635
AT1G03060,-0.006170554867077153
AT1G03070,-0.003711294707739659
AT1G03080,-0.007309229852610427
AT1G03090,-0.008079092897941318
