SampleID,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate,TissueClean,VegetativeRepro,AboveBelow,AT1G01010,PC1,PC2
DRX007662,PRJDB2180,Arabidopsis WT-Col mRNA_seq,23934508,wild type,Col-0,Other,30664389,0.862,4/2/2014,Other,Other,Other,12.141565,-34.71797848919534,-16.832735706414464
DRX007663,PRJDB2180,Arabidopsis ibm1-4 mRNA_seq,23934508,ibm1-4,Col-0,Other,38551905,0.911,4/2/2014,Other,Other,Other,16.28142,-45.64667321437572,-17.17994200338103
DRX007664,PRJDB2180,Arabidopsis ibm2-2 mRNA_seq,23934508,ibm2-2,Col-0,Other,37223057,0.8340000000000001,4/2/2014,Other,Other,Other,14.482322,-39.119348172350485,-12.872784547538537
DRX014481,PRJDB1593,Y1,Other,wild type,Other,root,95012910,0.898,2/5/2016,Root,Vegetative,Below,35.198841,-78.13619324826567,165.4176454384832
DRX014482,PRJDB1593,Y2,Other,wild type,Other,root,163269003,0.929,2/5/2016,Root,Vegetative,Below,34.900879,-79.85179627953264,162.99135670049768
DRX014483,PRJDB1593,Y9,Other,max1-1,Other,root,182427758,0.931,2/5/2016,Root,Vegetative,Below,32.782047,-77.5388369636515,160.01049730953744
DRX014484,PRJDB1593,Y10,Other,max1-1,Other,root,109750057,0.93,2/5/2016,Root,Vegetative,Below,33.612774,-68.93055811124403,155.34815882944565
DRX014485,PRJDB1593,Y11,Other,max1-1,Other,root,167993289,0.924,2/5/2016,Root,Vegetative,Below,33.505569,-73.20536274357652,159.86553584185918
DRX014494,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under dehydration conditions,Other,wild type,Other,whole plant,12147911,0.93,4/30/2015,WholePlant,WholePlant,WholePlant,8.470595,-47.690661445754586,25.497806409079068
DRX014495,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under saline stress conditions,Other,wild type,Other,whole plant,17347800,0.899,4/30/2015,WholePlant,WholePlant,WholePlant,8.491082,-32.01464383938496,23.82143626819929
DRX014496,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under ABA conditions,Other,wild type,Other,whole plant,12516488,0.88,4/30/2015,WholePlant,WholePlant,WholePlant,22.371651,-17.677520174473702,-12.878067720649428
DRX014497,PRJDB2508,RNA-seq of Arabidopsis ros1-3 plants under mock conditions,Other,wild type,Other,whole plant,13572284,0.906,4/30/2015,WholePlant,WholePlant,WholePlant,13.86967,-53.656241728823474,5.278896058002819
DRX014498,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under dehydration conditions,Other,ros1-3 mutant,Other,whole plant,14718410,0.924,4/30/2015,WholePlant,WholePlant,WholePlant,8.707733,-49.952152586005795,19.643832297059376
DRX014499,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under saline stress conditions,Other,ros1-3 mutant,Other,whole plant,12516488,0.88,4/30/2015,WholePlant,WholePlant,WholePlant,22.371651,-17.677520174473702,-12.878067720649428
DRX014500,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under ABA conditions,Other,ros1-3 mutant,Other,whole plant,12816639,0.8759999999999999,4/30/2015,WholePlant,WholePlant,WholePlant,8.77783,-20.347737293091146,-22.661946233609907
DRX014501,PRJDB2508,RNA-seq of Arabidopsis wildtype plants under mock conditions,Other,ros1-3 mutant,Other,whole plant,15756706,0.868,4/30/2015,WholePlant,WholePlant,WholePlant,14.057417,-56.48040379843356,6.876802679564252
DRX014502,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under ABA conditions,Other,dml2;3 mutant,Other,whole plant,16500234,0.928,4/30/2015,WholePlant,WholePlant,WholePlant,10.111039,-52.335646727664866,14.672429886560728
DRX014503,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under mock conditions,Other,dml2;3 mutant,Other,whole plant,12068156,0.936,4/30/2015,WholePlant,WholePlant,WholePlant,7.285511,-22.1473793114892,14.247709199630012
DRX014504,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under ABA conditions,Other,dml2;3 mutant,Other,whole plant,10330348,0.945,4/30/2015,WholePlant,WholePlant,WholePlant,6.859068,-25.746200704825554,18.09112450000513
DRX014505,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under mock conditions,Other,dml2;3 mutant,Other,whole plant,14262187,0.932,4/30/2015,WholePlant,WholePlant,WholePlant,9.955247,-46.38408100396783,11.517980304124166
DRX014506,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under dehydration conditions,Other,ros1dml2;3 mutant,Other,whole plant,12068156,0.936,4/30/2015,WholePlant,WholePlant,WholePlant,7.285511,-22.1473793114892,14.247709199630012
DRX014507,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under saline stress conditions,Other,ros1dml2;3 mutant,Other,whole plant,10330348,0.945,4/30/2015,WholePlant,WholePlant,WholePlant,6.859068,-25.746200704825554,18.09112450000513
DRX014508,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under dehydration conditions,Other,ros1dml2;3 mutant,Other,whole plant,12458301,0.878,4/30/2015,WholePlant,WholePlant,WholePlant,20.240036,-22.734779353935238,-14.81278114015812
DRX014509,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under saline stress conditions,Other,ros1dml2;3 mutant,Other,whole plant,10919328,0.921,4/30/2015,WholePlant,WholePlant,WholePlant,14.130979,-48.84064046647104,6.12467636602841
DRX014761,PRJDB2380,Col-0 rep2,27122350,wild type,Col-0,seedlings,14640751,0.75,1/2/2017,Seedling,WholePlant,WholePlant,7.66774,52.71424009520327,-63.71483770061951
DRX019488,PRJDB2938,Arabidopsis WT-Col RNA Seq 1,Other,wild type,Col-0,seedlings,91211162,0.934,6/1/2016,Seedling,WholePlant,WholePlant,21.100533,-81.86773025203202,45.99204581537562
DRX019489,PRJDB2938,Arabidopsis ibm2 RNA Seq 1,Other,ibm2-2,Col-0,seedlings,71727119,0.921,6/1/2016,Seedling,WholePlant,WholePlant,18.697311,-72.41681541564944,47.0167785919268
DRX026439,PRJDB3468,WT,26941090,wild type,Col-0,whole plant,10849453,0.922,12/28/2016,WholePlant,WholePlant,WholePlant,34.127834,-25.349789846503324,2.409420420362757
DRX026440,PRJDB3468,cca1 lhy,26941090,cca1 lhy double mutants,Col-0,whole plant,11543529,0.909,12/28/2016,WholePlant,WholePlant,WholePlant,18.582119,-9.334760371238296,-0.465683363554907
DRX028720,PRJDB3784,Arabidopsis_Vegetative shoot_2C-1,Other,Other,Col-0,meristems and young leaves,10644827,0.866,12/25/2018,Other,Other,Other,3.292939,-33.8216076206224,-56.1160847346229
DRX028721,PRJDB3784,Arabidopsis_Vegetative shoot_2C-2,Other,Other,Col-0,meristems and young leaves,10967359,0.857,12/25/2018,Other,Other,Other,2.166216,-33.59552275043517,-54.084209217128475
DRX028722,PRJDB3784,Arabidopsis_Vegetative shoot_2C-3,Other,Other,Col-0,meristems and young leaves,10452681,0.865,12/25/2018,Other,Other,Other,3.705613,-32.9858618857587,-50.365577446269675
DRX028723,PRJDB3784,Arabidopsis_Vegetative shoot_4C-1,Other,Other,Col-0,meristems and young leaves,10052016,0.866,12/25/2018,Other,Other,Other,5.447105,-34.65293133859655,-55.0450439282396
DRX028724,PRJDB3784,Arabidopsis_Vegetative shoot_4C-2,Other,Other,Col-0,meristems and young leaves,9131021,0.863,12/25/2018,Other,Other,Other,4.805226,-29.562099647373167,-50.91256721211678
DRX028725,PRJDB3784,Arabidopsis_Vegetative shoot_4C-3,Other,Other,Col-0,meristems and young leaves,10168510,0.862,12/25/2018,Other,Other,Other,5.678832,-33.099459972117096,-46.94994871697777
DRX028726,PRJDB3784,Arabidopsis_Inflorescence_2C-1,Other,Other,Col-0,inflorescence meristems,33022273,0.905,12/25/2018,Other,Other,Other,14.031241,-59.69364632071459,-9.377348555870496
DRX028727,PRJDB3784,Arabidopsis_Inflorescence_2C-2,Other,Other,Col-0,inflorescence meristems,38661112,0.8029999999999999,12/25/2018,Other,Other,Other,14.748264,-59.02939203827852,-10.630247506372053
DRX028728,PRJDB3784,Arabidopsis_Inflorescence_2C-3,Other,Other,Col-0,inflorescence meristems,35755684,0.909,12/25/2018,Other,Other,Other,14.289133,-58.80727673465799,-10.525350908434621
DRX028729,PRJDB3784,Arabidopsis_Inflorescence_4C-1,Other,Other,Col-0,inflorescence meristems,33642970,0.906,12/25/2018,Other,Other,Other,10.601806,-54.32436840172376,-11.969252364326254
DRX028730,PRJDB3784,Arabidopsis_Inflorescence_4C-2,Other,Other,Col-0,inflorescence meristems,25902619,0.91,12/25/2018,Other,Other,Other,9.750127,-55.557665637212395,-10.917478107004783
DRX028731,PRJDB3784,Arabidopsis_Inflorescence_4C-3,Other,Other,Col-0,inflorescence meristems,34291716,0.907,12/25/2018,Other,Other,Other,11.847886,-60.33078135898198,-8.567778160246592
DRX029882,PRJDB3468,WT_1,26941090,Other,Col-0,whole plant,3927300,0.89,3/30/2016,WholePlant,WholePlant,WholePlant,15.500937,14.228940679234888,-21.18641105280957
DRX029883,PRJDB3468,WT_2,26941090,Other,Col-0,whole plant,4188188,0.89,3/30/2016,WholePlant,WholePlant,WholePlant,19.490442,7.600114154140198,-16.815646064122525
DRX029884,PRJDB3468,cl_1,26941090,cca1 lhy double mutant,Other,whole plant,4269921,0.8759999999999999,3/30/2016,WholePlant,WholePlant,WholePlant,10.150283,-0.8972542681340618,-7.97912359268175
DRX029885,PRJDB3468,cl_2,26941090,cca1 lhy double mutant,Other,whole plant,3772279,0.875,3/30/2016,WholePlant,WholePlant,WholePlant,16.495089,9.921676038607407,-22.165696357675163
DRX039919,PRJDB4155,ZeroHAP,Other,wild type,Col-0,ovule,7004011,0.912,8/16/2017,Other,Other,Other,8.734317,1.2682263875021262,10.308391348413764
DRX039920,PRJDB4155,NPT_12HAP,Other,NPT,Col-0,ovule,6766441,0.897,8/16/2017,Other,Other,Other,9.371902,6.642980877958909,7.147287590059697
DRX039921,PRJDB4155,NPT_24HAP,Other,NPT,Col-0,ovule,6384368,0.895,8/16/2017,Other,Other,Other,12.496524,3.8142312081721177,8.266741737858855
DRX039922,PRJDB4155,NPT_48HAP,Other,NPT,Col-0,ovule,6096323,0.894,8/16/2017,Other,Other,Other,12.073599,5.871813018038007,5.259088012595228
DRX039923,PRJDB4155,WT_12HAP,Other,wild type,Col-0,ovule,7265508,0.901,8/16/2017,Other,Other,Other,10.174813,16.38671346423585,18.11256743040177
DRX039924,PRJDB4155,WT_24HAP,Other,wild type,Col-0,ovule,7897368,0.918,8/16/2017,Other,Other,Other,8.114435,6.338959408522347,15.023395349495459
DRX039925,PRJDB4155,WT_48HAP,Other,wild type,Col-0,ovule,7170355,0.916,8/16/2017,Other,Other,Other,6.144455,15.839753605397947,17.291867455751504
DRX039926,PRJDB4155,gcs1_12HAP,Other,gcs1,Col-0,ovule,7298052,0.898,8/16/2017,Other,Other,Other,11.763177,15.273618422356883,15.99160643545188
DRX039927,PRJDB4155,gcs1_24HAP,Other,gcs1,Col-0,ovule,6655329,0.899,8/16/2017,Other,Other,Other,6.91809,9.419310706251382,10.913815164733615
DRX039928,PRJDB4155,gcs1_48HAP,Other,gcs1,Col-0,ovule,8174475,0.918,8/16/2017,Other,Other,Other,12.266801,15.932739222354087,19.778810910896972
DRX051954,PRJDB4660,Arabidopsis thaliana wild type,Other,wild type,Other,seedlings,45330258,0.8290000000000001,3/16/2018,Seedling,WholePlant,WholePlant,24.315588,-51.83682709141752,84.20195919619076
DRX051955,PRJDB4660,hxk1 mutant(SAIL_680_D02),Other,hxk1 mutant (SAIL_680_D02),Other,seedlings,53679002,0.883,3/16/2018,Seedling,WholePlant,WholePlant,20.211376,-60.564427331125806,78.76303992743564
DRX051956,PRJDB4660,max2 mutant(max2-1),Other,max2 mutant (max2-1),Other,seedlings,40221737,0.895,3/16/2018,Seedling,WholePlant,WholePlant,22.273958,-52.91910377555803,79.01886816159872
DRX060003,PRJDB4993,Br-0_A1,Other,Other,Br-0,root,6888369,0.831,7/17/2018,Root,Vegetative,Below,61.00502,4.142670665001066,163.71671284794422
