left_genes,left_loadings,right_genes,right_loadings
AT1G01170,-0.009055058599079457,AT1G01680,0.010969923993477114
AT1G01430,-0.00902078157903129,AT1G02710,0.0005289898604553415
AT1G01610,-0.009786152225161918,AT1G03103,0.00026641869171722363
AT1G01620,-0.009560063138834101,AT1G03880,0.00013928825676139502
AT1G01630,-0.0090733714462499,AT1G03890,0.0005883582322166569
AT1G02120,-0.009297091088478985,AT1G03993,0.0007753250992862085
AT1G02730,-0.009055646555899985,AT1G04017,0.000504430240560793
AT1G03870,-0.009236129885731905,AT1G04063,0.00013276456202588623
AT1G04040,-0.010565297901822928,AT1G04077,0.000680882126668078
AT1G04240,-0.009275729425456515,AT1G04233,0.0012279543308862124
AT1G04250,-0.009597160137934652,AT1G04343,0.0007455536927994376
AT1G04280,-0.009105208264902086,AT1G04387,0.0001528511173949816
AT1G04430,-0.009187520700986294,AT1G04487,0.0015809150992013644
AT1G04520,-0.009033856495434112,AT1G04503,0.002355620805908205
AT1G04680,-0.009793204307437986,AT1G04573,0.00019294547489803358
AT1G04940,-0.00898544887908971,AT1G04773,0.00022438797073103483
AT1G05260,-0.009455251120801039,AT1G04823,0.0002686945692074046
AT1G05810,-0.009264973622939987,AT1G04833,0.0003310896370682975
AT1G06390,-0.009018182018127577,AT1G04873,0.00033110876581028247
AT1G06550,-0.010305041841496238,AT1G04917,0.0003894638350749336
AT1G06640,-0.009681085909744407,AT1G05173,0.0001521288799449933
AT1G06760,-0.009041094822400838,AT1G05253,0.0015235471070720078
AT1G07070,-0.009236234183979303,AT1G05267,0.00012888721092431027
AT1G07370,-0.009513185255810864,AT1G05273,0.0008799906069128893
AT1G07610,-0.009734522332397553,AT1G05283,0.00014478251631196544
AT1G07650,-0.009372983132177656,AT1G05337,0.0007790536490793347
AT1G08520,-0.009248401265575724,AT1G05353,0.0002459668643793124
AT1G08560,-0.010204573323073519,AT1G05453,0.0030511544414560682
AT1G08830,-0.009004096739776556,AT1G05553,0.0007234076473365533
AT1G08930,-0.009302580413971879,AT1G05837,0.00018482539512479224
AT1G08980,-0.009298874639806878,AT1G05873,0.00013428779856247615
AT1G09660,-0.008966590822020153,AT1G05927,0.00015135821745334828
AT1G09740,-0.009248432467737287,AT1G05973,0.0003661898515423476
AT1G09750,-0.00970249324972971,AT1G06003,0.0002999535004886986
AT1G09760,-0.00901863484477481,AT1G06153,0.0003202613602792041
AT1G09780,-0.009013719126732482,AT1G06163,0.00037994989393180985
AT1G09840,-0.00936010924560841,AT1G06213,0.0001908572378659335
AT1G10200,-0.00925512539082809,AT1G06397,0.0006440582240574339
AT1G10510,-0.009064005025047386,AT1G06613,0.00021403197009660108
AT1G10682,-0.010115942764164346,AT1G07160,0.010470394296334893
AT1G11475,-0.009087185464706412,AT1G07187,0.0015925380560730291
AT1G11545,-0.010114898374093602,AT1G07400,0.008812347566916392
AT1G11580,-0.01096179472355632,AT1G07500,0.000487315358052862
AT1G11670,-0.009051249994824751,AT1G07600,0.002046752821914262
