SampleID,family,TissueClean,stress,AboveBelow,VegetativeRepro,true_labels,predictions
SRR1598911,Amaranthacea,Flower,healthy,Above,Reproductive,3,15
SRR1598912,Amaranthacea,Leaf,healthy,Above,Vegetative,7,16
SRR1598913,Amaranthacea,Root,healthy,Below,Vegetative,13,13
SRR1598910,Amaranthacea,Shoot,healthy,Above,Vegetative,18,13
SRR1598914,Amaranthacea,Other,drought,Other,Other,8,16
SRR1598909,Amaranthacea,Seed,healthy,WholePlant,Reproductive,15,15
SRR1598916,Amaranthacea,Seed,healthy,WholePlant,Reproductive,15,15
SRR1598915,Amaranthacea,Seedling,healthy,WholePlant,WholePlant,16,15
SRR9844294,Brassicaceae,Leaf,healthy,Above,Vegetative,7,7
SRR9844295,Brassicaceae,Leaf,healthy,Above,Vegetative,7,16
SRR9844296,Brassicaceae,Leaf,healthy,Above,Vegetative,7,18
SRR9844300,Brassicaceae,Leaf,drought,Above,Vegetative,7,7
SRR9844301,Brassicaceae,Leaf,drought,Above,Vegetative,7,7
SRR9844302,Brassicaceae,Leaf,drought,Above,Vegetative,7,7
SRR11458863,Brassicaceae,Leaf,healthy,Above,Vegetative,7,7
SRR11458867,Brassicaceae,Leaf,healthy,Above,Vegetative,7,16
SRR11458871,Brassicaceae,Leaf,healthy,Above,Vegetative,7,18
SRR11458875,Brassicaceae,Leaf,healthy,Above,Vegetative,7,7
SRR11458864,Brassicaceae,Leaf,salt,Above,Vegetative,7,7
SRR11458868,Brassicaceae,Leaf,salt,Above,Vegetative,7,7
SRR11458872,Brassicaceae,Leaf,salt,Above,Vegetative,7,7
SRR11458876,Brassicaceae,Leaf,salt,Above,Vegetative,7,7
SRR3724649,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724650,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724651,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724652,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724663,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724668,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724737,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724738,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724739,Brassicaceae,Leaf,cold,Above,Vegetative,7,7
SRR3724741,Brassicaceae,Leaf,cold,Above,Vegetative,7,16
SRR3724768,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724774,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724778,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724782,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724785,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724786,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724787,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724798,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724806,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3724814,Brassicaceae,Leaf,heat,Above,Vegetative,7,7
SRR3581347,Brassicaceae,Root,healthy,Below,Vegetative,13,13
SRR3581356,Brassicaceae,Root,healthy,Below,Vegetative,13,13
SRR3581346,Brassicaceae,Shoot,healthy,Above,Vegetative,18,16
SRR3581681,Brassicaceae,Shoot,healthy,Above,Vegetative,18,7
SRR3581706,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR3581709,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR3581712,Brassicaceae,Seed,healthy,WholePlant,Reproductive,15,15
SRR3581693,Brassicaceae,Flower,healthy,Above,Reproductive,3,5
SRR3581694,Brassicaceae,Flower,healthy,Above,Reproductive,3,5
SRR3581695,Brassicaceae,Flower,healthy,Above,Reproductive,3,5
SRR3581696,Brassicaceae,Flower,healthy,Above,Reproductive,3,3
SRR3581697,Brassicaceae,Flower,healthy,Above,Reproductive,3,3
SRR3581698,Brassicaceae,Flower,healthy,Above,Reproductive,3,3
SRR3581699,Brassicaceae,Flower,healthy,Above,Reproductive,3,16
SRR3581700,Brassicaceae,Flower,healthy,Above,Reproductive,3,3
SRR3581701,Brassicaceae,Flower,healthy,Above,Reproductive,3,3
SRR3581707,Brassicaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR3581710,Brassicaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR3581713,Brassicaceae,Reproductive- Other,healthy,Above,Reproductive,12,7
SRR5293260,Amborellaceae,Root,healthy,Below,Vegetative,13,13
SRR5293261,Amborellaceae,Leaf,healthy,Above,Vegetative,7,7
SRR5293262,Amborellaceae,Leaf,healthy,Above,Vegetative,7,16
SRR5293263,Amborellaceae,Flower,healthy,Above,Reproductive,3,15
SRR5293265,Amborellaceae,Shoot,healthy,Above,Vegetative,18,18
SRR5293264,Amborellaceae,Shoot,healthy,Above,Vegetative,18,8
SRR5293266,Amborellaceae,Flower,healthy,Above,Reproductive,3,19
SRR5293267,Amborellaceae,Flower,healthy,Above,Reproductive,3,15
SRR5293268,Amborellaceae,Seedling,healthy,WholePlant,WholePlant,16,18
